# System size (64, 64, 128)
# temperature, gas_density, err, liquid_density, err, lambda, err
0.74 0.00994751 9.764e-05 0.769669 9.728e-05 1.25242 0.002742
0.76 0.0122512 9.923e-05 0.758463 9.635e-05 1.32206 0.002875
0.78 0.0146329 9.202e-05 0.747938 8.892e-05 1.37413 0.002758
0.8 0.0177909 9.854e-05 0.735806 9.443e-05 1.44376 0.003077
0.82 0.0214076 9.356e-05 0.724234 8.656e-05 1.53963 0.003023
0.84 0.0249348 9.868e-05 0.712309 9.062e-05 1.61175 0.00332
0.86 0.0298576 9.414e-05 0.698908 9.375e-05 1.68587 0.003469
0.88 0.0348319 9.306e-05 0.686292 8.987e-05 1.82186 0.0036
0.9 0.0405645 9.128e-05 0.672668 8.603e-05 1.94766 0.003712
0.92 0.046839 8.635e-05 0.658316 8.085e-05 2.07763 0.003732
0.94 0.0550533 9.45e-05 0.642479 9.499e-05 2.28149 0.004613
0.96 0.0635811 9.038e-05 0.626956 8.536e-05 2.43226 0.004595
0.98 0.0736447 9.346e-05 0.609664 8.927e-05 2.70825 0.005289
1.0 0.0853076 9.453e-05 0.589367 9.602e-05 3.00312 0.006165
1.01 0.0936412 9.937e-05 0.577029 9.563e-05 3.27662 0.006854
1.02 0.101668 9.487e-05 0.566118 9.094e-05 3.5192 0.00703
1.03 0.108586 8.184e-05 0.55643 7.541e-05 3.72787 0.00633
1.04 0.118081 7.178e-05 0.542387 7.606e-05 4.02724 0.006521
1.05 0.129428 0.0001169 0.529833 0.0001151 4.45559 0.01138
1.06 0.141185 0.0001156 0.513633 0.000106 5.15095 0.01247
1.07 0.157272 0.0001229 0.492986 0.0001354 5.99528 0.01728
